processing_time,queue_time,machine_downtime,resource_utilization,defect_rate,batch_size,customer_satisfaction,system_efficiency
31.89,9.14,3.25,79.35,2.17,411,82.08,90.25
37.83,13.3,6.48,76.74,2.17,111,76.24,81.59
29.67,15.88,1.54,74.31,1.55,289,94.4,86.06
27.22,6.31,1.34,83.75,1.76,139,92.28,78.92
39.41,11.49,1.03,83.02,2.54,281,89.85,84.79
22.76,8.6,0.33,66.46,2.25,282,77.09,77.69
19.01,9.68,1.7,78.87,3.04,403,72.94,79.42
32.2,17.93,0.65,82.14,2.59,382,87.28,93.55
27.49,5.49,5.08,82.81,2.57,488,86.61,75.88
24.89,10.76,1.75,68.4,1.31,424,75.65,83.92
33.54,11.4,1.8,89.69,2.38,341,71.69,89.14
31.22,13.26,0.88,61.01,1.97,394,72.42,96.11
27.18,10.29,0.11,74.19,1.72,201,99.78,85.89
23.6,10.92,0.06,91.21,2.08,477,93.51,86.17
34.36,8.83,1.1,82.56,2.47,194,97.66,85.2
33.25,10.81,0.18,70.45,2.25,179,75.85,90.29
29.5,8.97,1.87,87.8,1.56,190,98.82,87.16
39.23,11.86,4.26,82.7,2.37,464,74.28,82.12
24.65,8.89,4.29,91.85,1.68,142,85.27,90.58
22.37,11.13,2.15,89.4,2.11,163,94.89,82.69
26.54,9.91,0.47,84.4,1.85,333,80.49,77.01
29.77,13.38,3.98,79.53,1.89,493,82.74,77.02
31.22,9.85,4.34,65.33,2.38,460,73.85,83.99
28.79,4.68,0.44,70.45,1.48,192,73.69,85.52
31.76,13.79,2.67,76.76,2.97,272,88.59,89.78
23.74,7.28,0.68,83.97,1.09,281,90.27,88.2
37.22,8.04,3.25,80.55,1.7,82,93.32,85.4
29.59,8.21,11.78,71.53,2.19,325,86.7,90.06
35.59,14.12,0.06,60.26,2.29,219,89.37,85.06
31.71,3.59,4.55,79.85,1.95,189,70.41,78.55
32.28,19.41,1.95,71.43,1.97,406,74.87,77.46
32.85,13.17,7.25,89.38,2.21,250,99.55,91.39
32.24,10.67,1.25,60.96,1.88,72,72.28,73.77
33.21,9.84,3.76,83.39,2.7,273,90.36,84.0
36.65,10.86,0.13,97.66,2.42,417,75.28,99.91
30.98,11.56,0.82,66.98,2.44,319,91.5,87.3
33.55,11.94,0.14,78.87,1.52,396,91.18,83.96
29.55,11.67,7.41,63.66,1.96,202,77.03,76.58
37.2,10.27,3.4,85.03,1.85,382,78.09,93.09
26.62,9.41,3.83,82.02,1.5,134,89.64,91.07
39.0,9.55,5.56,76.29,2.18,158,81.7,88.42
29.8,9.42,0.18,80.86,1.73,80,75.84,85.0
22.85,13.4,0.97,95.86,2.33,278,91.95,87.86
30.64,11.78,0.15,67.85,1.46,289,74.62,84.26
26.59,1.18,0.47,60.9,2.86,427,95.67,80.13
34.2,11.97,0.52,94.47,1.55,412,85.44,89.78
26.74,10.58,1.27,83.08,2.11,359,73.17,84.75
27.77,9.94,0.63,95.63,2.4,438,90.82,87.61
20.55,8.83,0.21,83.88,1.71,190,85.57,84.39
27.74,13.37,0.37,92.41,2.43,205,78.94,87.31
17.88,12.84,0.32,77.19,1.39,348,82.68,84.93
22.08,7.68,7.23,89.99,2.73,394,78.95,84.54
33.8,11.22,2.85,96.52,2.01,420,77.89,85.15
33.93,7.09,6.87,82.88,1.7,148,74.91,99.8
32.13,5.86,1.16,67.23,1.85,96,80.88,89.01
25.17,8.12,0.65,70.75,2.4,376,77.53,97.93
29.76,12.59,3.2,67.95,1.71,471,90.5,84.96
29.98,12.86,0.79,69.87,1.63,116,90.52,83.45
24.21,11.54,0.71,72.26,1.89,111,85.06,79.63
37.52,12.18,0.53,82.21,1.41,158,93.34,93.02
34.39,11.55,0.28,83.52,2.91,216,95.24,80.47
28.9,8.08,0.59,77.06,1.72,86,87.39,94.05
30.13,11.3,0.88,84.62,2.42,168,88.57,79.92
31.04,12.4,2.24,63.26,2.1,135,78.49,89.43
19.79,12.26,0.13,63.51,1.51,431,96.85,77.04
28.76,13.57,0.47,66.87,2.0,441,70.73,82.79
26.59,12.12,3.31,80.72,2.39,101,80.46,85.11
24.99,11.05,0.32,68.56,1.91,140,91.65,82.01
28.59,13.21,0.84,71.33,2.6,338,72.4,84.15
38.99,9.92,4.0,76.01,2.51,386,75.5,84.18
33.2,7.35,0.34,92.47,2.46,347,87.68,89.03
27.14,9.51,0.17,60.55,1.77,253,86.8,74.57
32.86,7.77,1.33,85.98,1.46,417,92.17,82.19
